Brand,US,CA,UK,AU,JP,Notes
Acqua Di Parma,ok,ok,ok,has path to apply,Hard Gated,AU: B0CGM85RB4 / 8028713813375
Adolfo Dominguez,ok,ok,ok,ok,has path to apply,
Armani Beauty,Hard Gated,Hard Gated,has path to apply,has path to apply,has path to apply,UK: ungated for cosmetics but gated for perfumes B084WNR5NZ / 3614272865228; AU: B0DBRGR2YC / 3614273954174
Avene,Hard Gated,Hard Gated,Hard Gated,ok,has path to apply,
Balenciaga,ok,has path to apply,has path to apply,has path to apply,has path to apply,CA: B0038L0BH0 / 3607348002399; UK: B00EXW39NQ / 3607348002399; AU: B00EXW39NQ / 3607348002399
Bioderma,Hard Gated,Hard Gated,has path to apply,ok,,
Biotherm,Hard Gated,Hard Gated,ok,has path to apply,,"AU: partially gated, there are products we cant sell but we can ungate B09T76PB85 / 3614272974968"
BRUNO BANANI,ok,ok,ok,has path to apply,,"CA: No perfumes ASINs under the brand, unable to determine if we're ungated; AU: B07TB8MTSN / 3614225298806"
BVLGARI,ok,ok,ok,has path to apply,Hard Gated,AU: B0DRPG8TMM / 0783320423420
Carolina Herrera,Hard Gated,ok,has path to apply,has path to apply,has path to apply,UK: B0FNKY5SWX / 8411061077146; AU: ok/ partially gated
CeraVe,Hard Gated,Hard Gated,Hard Gated,Hard Gated,,
Chanel,Hard Gated,ok,ok,ok,Hard Gated,
Charlotte Tilbury,,,,,has path to apply,
Chloé,ok,ok,has path to apply,ok,Hard Gated,UK: B0D1XKNFZD / 3616303477943
Christian Dior,Hard Gated,has path to apply,has path to apply,ok,Hard Gated,CA: Not enough invoices for the same products; UK: B079TR2JHT / 3348901368254
Clinique,Hard Gated,Hard Gated,Hard Gated,has path to apply,Hard Gated,AU: B01F2LBF96 / 0810876037105
Collistar,ok,has path to apply,has path to apply,ok,has path to apply,
Creed,Hard Gated,has path to apply,,has path to apply,,
Darphin,ok,has path to apply,ok,ok,,
Davidoff,Hard Gated,Hard Gated,Hard Gated,Hard Gated,,
Diptique,,,,,has path to apply,
Dolce & Gabbana,Hard Gated,Hard Gated,has path to apply,ok,has path to apply,UK: B07RYWR3LW / 3423473049456
Eisenberg,ok,ok,ok,ok,,
Elizabeth Arden,Hard Gated,Hard Gated,ok,,,AU: d
Estée Lauder,Hard Gated,Hard Gated,has path to apply,has path to apply,Hard Gated,UK: B002TWWXDY / 0885790843163; AU: B002TWWXDY / 0885790843163
Eucerin,Hard Gated,has path to apply,has path to apply,ok,,
Filorga,Hard Gated,Hard Gated,has path to apply,ok,,
GIORGIO ARMANI,Hard Gated,Hard Gated,ok,has path to apply,has path to apply,CA: Partially gated/ no path to apply; AU: thread 27.10
Givenchy,ok,ok,ok,has path to apply,has path to apply,AU: B0BYVMGSG3 / 3274872448773
Guccï,has path to apply,ok,has path to apply,ok,Hard Gated,US: Has path to apply but cannot add new listings; UK: B08V24N7ZQ / 3616301976110
GUERLAIN,ok,ok,ok,ok,has path to apply,
